ウルグアイ,13
ロシア,11
サウジアラビア,5
エジプト,3
スペイン,15
ポルトガル,7
イラン,5
モロッコ,5
フランス,15
デンマーク,5
ペルー,5
オーストリア,5
クロアチア,5
アルゼンチン,17
ナイジェリア,6
アイスランド,0
ブラジル,21
スイス,11
セルビア,12
コスタリカ,5
スウェーデン,12
メキシコ,16
韓国,10
ドイツ,19
ベルギー,13
イングランド,15
チュニジア,5
パナマ,0
コロンビア,6
日本,6
セネガル,2
ポーランド,8
